title,imdb_rating
Gun City,6.3
Guna 369,6.3
Gunjan Saxena: The Kargil Girl,5.2
Gurgaon,6.6
Guru,5.6
Guzaarish,7.4
Gypsy,6.5
H,6.3
Héroes,7.1
Haani,7.1
Habibie & Ainun,7.6
Haider,8.1
Half Girlfriend,4.4
Halkaa,7.2
Hamara Dil Aapke Paas Hai,5.6
Hamid,7.8
Handsome Devil,7.1
Hangman,4.6
Hannibal,6.8
Hantu Kak Limah,6.3
Happy Go Lucky,5.9
Happy Hunting,5.1
Happy New Year,6.1
Happy Old Year,7.3
Happy Times,5.9
Haraamkhor,6.4
Hard Kill,2.9
Hard Tide,4.8
Harud,6.5
Hasee Toh Phasee,6.8
Haseena Maan Jaayegi,6.2
Hattrick,4.2
Haunted,3.6
Haunting on Fraternity Row,3.9
Haven,5.8
Havenhurst,4.8
Hawaizaada,5.5
Hazaaron Khwaishein Aisi,7.9
He Never Died,6.4
He's Out There,5.2
Head Count,5.4
Head On,6.5
Headshot,6.2
Heartland,7.3
Heaven Without People,8.0
Heidi,6.8
Helix,4.3
Hell and Back,5.4
Hell on Wheels,3.7
Hell or High Water,7.6
Hellboy,6.8
Hello Brother,4.8
Heneral Luna,7.6
Her Only Choice,5.0
Hera Pheri,6.8
Here Alone,5.6
Hero,6.7
Heroine,5.1
Hickok,4.7
Hide & Seek,4.2
Hide and Seek,4.5
High Society,6.4
Highway,6.5
Hilda,6.4
Himmatwala,4.4
Hisss,2.8
Hit & Run,6.2
Ho Mann Jahaan,7.1
Hold the Dark,5.6
Holding the Man,7.4
Holidays,5.1
Holly Star,5.1
Hollywood,6.3
Holy Hell,4.2
Home for Christmas,5.4
Honey: Rise Up and Dance,5.2
Honeymoon Travels Pvt. Ltd.,6.1
Honeytrap,5.9
Hoodwinked Too! Hood vs. Evil,4.7
Hop,6.9
Hope Aur Hum,6.2
Hope Springs Eternal,4.8
Horns,6.5
Horror Story,4.3
Horse Girl,5.9
Hot Bot,3.4
Hot Gimmick: Girl Meets Boy,4.5
Hot Property,4.0
Hot Rod,6.4
Hotel Pacific,7.3
Hotel Transylvania,7.1
Hotel Transylvania 3: Summer Vacation,6.3
House Arrest,5.5
House of Cards,2.1
How to Be a Latin Lover,6.0
How to Be a Player,5.4
Human Nature,6.4
Humpty Sharma Ki Dulhania,6.0
Hungerford,3.8
Hunterrr,7.0
Husbands in Goa,3.7
Hyena,6.1
I Am,3.4
I Am Kalam,8.0
I Am Michael,5.6
I Am Mother,6.7
I Am Vengeance: Retaliation,3.7
I Am Woman,6.0
I Will Follow,6.0
I'll See You in My Dreams,6.8
I'll Sleep When I'm Dead,5.8
I'm in Love with a Church Girl,4.4
Ibiza,5.2
Icarus,5.1
Iceman,4.8
Igor,6.0
III Smoking Barrels,6.8
Immortals,6.0
Imperial Dreams,6.7
In Between,6.1
In Darkness,7.3
In My Country,6.0
In Paradox,5.3
In Search of Fellini,6.2
Inception,8.8
Incoming,3.3
Inconceivable,3.1
Indian Horse,7.2
Inkaar,6.9
Innocent,5.7
Insan,4.6
Inside Man: Most Wanted,5.6
Insidious,6.1
Inspector Gadget,4.1
Instructions Not Included,7.5
Internet Famous,3.6
Into the Forest,2.8
Inuyasha the Movie - L'isola del fuoco scarlatto,7.3
Inuyasha the Movie - La spada del dominatore del mondo,7.7
Invisible,6.2
Inxeba,6.7
Ip Man,8.0
Ip Man 2,7.5
Ip Man 3,7.1
Iqbal,8.1
Iris,6.5
Iron Ladies,6.4
Ishq Vishk,6.0
Ishqedarriyaan,4.9
Ishqiya,7.3
Isi & Ossi,6.4
Isoken,6.3
Issaq,4.5
It Comes at Night,6.2
It Takes a Man and a Woman,6.7
Ittefaq,7.4
Jaal,7.4
Jaan-E-Mann: Let's Fall in Love... Again,6.0
Jaane Tu... Ya Jaane Na,7.5
Jab Harry Met Sejal,5.3
Jackie Brown,7.5
Jackpot,4.8
Jacob's Ladder,3.5
Jada,5.6
Jagat,6.9
Jagga Jasoos,6.5
Jai Mummy Di,3.6
Jail,6.2
Jailbreak,4.2
Jal,6.8
Jalpari: The Desert Mermaid,7.1
Janaan,7.1
Jatt James Bond,6.7
Jatts in Golmaal,6.2
Jericho,6.1
Jersey Boys,6.8
Jessica Darling's It List,5.4
Jezebel,5.7
Jhankaar Beats,7.2
Jindua,6.6
Jinn,4.2
Jis Desh Men Ganga Behti Hai,7.4
John Carter,6.6
John Day,5.6
John Henry,3.5
Joker,4.6
Jonaki,7.0
Jonas,6.3
Jonathan,6.0
Jora 10 Numbaria,6.9
Joy,5.0
Juanita,5.9
Judge Singh LLB,7.4
Judwaa,6.0
Judwaa 2,3.8
Judy Moody and the Not Bummer Summer,4.3
Julie & Julia,7.0
Junebug,6.9
Justice,4.5
Justin Time,3.7
Justine,6.7
K,6.2
Küçük Esnaf,5.6
Kaçak,6.0
Kaabil,7.1
Kaal,4.6
Kaalia,6.9
Kabhi Haan Kabhi Naa,7.8
Kabir Singh,7.1
Kahaani,8.1
Kajraare,2.8
Kalakalappu,6.9
Kaleidoscope,5.8
Kalki,6.9
Kalushi: The Story of Solomon Mahlangu,6.5
Kaminey,7.4
Kannum Kannum Kollaiyadithaal,7.7
Kapoor & Sons,7.7
Kappela,7.6
Kara Bela,6.9
Kardec,6.1
Karthik Calling Karthik,7.0
Karzzzz,2.1
Kate & Leopold,6.4
Kath & Kimderella,5.3
Katha,7.9
Katti Batti,4.9
Kay Dyache Bola,7.1
Khoobsurat,5.3
Khubsoorat,7.6
Khushi,7.9
Kickboxer: Retaliation,5.0
Kid Kulafu,6.8
Kill Command,5.7
Kill Ratio,4.1
Killa,7.9
Killers,2.0
Killing Hasselhoff,4.4
King Jack,7.0
King of Boys,5.8
King of Peking,6.3
King's Ransom,4.4
Kingpin,6.9
Kings,6.9
Kis Kisko Pyaar Karoon,5.7
Kisaan,5.4
KL Zombi,4.4
Knock Knock,3.0
Kodachrome,6.8
Kolaiyuthir Kaalam,2.6
Komola Rocket,7.4
Kon-Tiki,7.2
Koshish,8.6
Krishna and His Leela,5.4
Krishna Cottage,5.1
Krystal,5.4
Kucch To Hai,4.2
Kuldip Patwal: I Didn't Do It!,6.8
Kung Fu Magoo,5.0
Kuntilanak,6.1
Kurbaan,4.0
Kya Kehna,5.9
Kyaa Kool Hai Hum,6.1
Kyaa Kool Hain Hum 3,1.9
Kyo Kii... Main Jhuth Nahin Bolta,5.3
La Bamba,6.9
Laal Rang,8.0
Lady Bird,7.4
Lady Bloodfight,5.6
Lady Driver,6.0
Lady in the Water,5.5
Lady J,6.9
Lady-Like,5.7
Lakshya,7.9
Lal Patthar,6.4
Lalbaug Parel: Zali Mumbai Sonyachi,7.2
Lang Tong,5.1
Larceny,4.4
Last Breath,3.9
Last Ferry,5.9
Last Flight to Abuja,4.7
Last Knights,6.2
Last Night,7.1
Lavender,5.4
Lawless,7.3
Layla M.,6.7
Leap Year,6.1
Legend,6.5
Legion,5.2
Leila,7.6
Lens,6.8
Les Misérables,7.6
Let There Be Light,4.7
Let's Dance,6.0
Lez Bomb,5.0
Liar's Dice,6.9
Life,6.8
Life Ki Toh Lag Gayi,5.4
Lifechanger,5.4
Like Arrows,6.4
Lila & Eve,5.8
Lilli,5.8
Limitless,7.4
Lincoln,7.3
Lingua Franca,6.4
Lionheart,5.6
Little Boxes,5.9
Little Evil,5.7
Little Men,6.2
Little Monsters,4.8
Little Sister,5.5
Live,6.2
Lo más sencillo es complicarlo todo,3.8
Loaded,4.6
Lock,6.1
Locke,7.1
Lockout,4.0
Loco Love,4.3
Loev,5.8
Lolita,7.6
Lommbock,6.8
Lost Girls,6.1
Lost in London,6.2
Lost in Space,5.2
Love,5.7
Love 101,4.7
Love Aaj Kal,5.0
Love and Shukla,7.3
Love Beats Rhymes,5.4
Love for Sale,5.4
Love for Sale 2,6.9
Love Is a Story,6.1
Love Is Blind,5.1
Love Jacked,5.8
Love Jones,7.5
Love Ni Bhavai,8.4
Love Shot,5.9
Love You to the Stars and Back,7.6
Love.com,2.4
Lovesick,3.3
Lovesong,6.3
Loving Annabelle,6.3
"LSD: Love, Sex Aur Dhokha",7.1
Lucid Dream,6.1
Lucifer,3.8
Luck by Chance,7.1
Lucknow Central,6.2
Lucky: No Time for Love,4.7
Ludo,2.8
Luka Chuppi,6.3
Lupt,6.8
Lust Stories,6.5
Luv Shuv Tey Chicken Khurana,6.6
Maacher Jhol,7.0
Mac & Devin Go to High School,4.4
Machete Kills,5.6
Macho,5.8
Mad World,6.2
Madaari,7.6
Made in China,5.8
Madras Café,7.7
Madre,7.8
Magnetic,5.9
Magnolia,8.0
Magnus,5.8
Mahabharat,5.4
Main Hoon Na,7.0
Maine Pyaar Kyun Kiya,5.5
Maine Pyar Kiya,7.3
Maktub,6.8
Malaal,5.9
Malevolent,5.3
Malibu Rescue,4.8
Malicious,5.0
Mallesham,8.5
Mama's Boy,5.2
Man Down,5.9
Man of Tai Chi,6.1
Man to Man,6.5
Man Up,6.1
Man with a Plan,6.4
Mandi,7.6
Mango Dreams,7.6
Manhattan Romance,5.5
Manhunt,5.2
Maniac,3.7
Maniyarayile Ashokan,4.6
Manje Bistre,6.6
Manmadhudu 2,4.8
Mann,6.2
Manoranjan,6.9
Mansfield Park,7.1
Manson Family Vacation,5.8
Manto,8.5
Mantra,5.2
Manu,7.9
Manusangada,7.9
Maps to the Stars,6.2
Mara,3.0
Marauders,4.7
Marco Polo,4.5
Maria,7.1
Marianne,5.6
Maroon,5.1
Marriage Palace,6.2
Mars,3.9
Marseille,6.5
Mary Kom,6.8
Mascots,5.7
Maska,5.9
Masoom,8.4
Master,6.8
Match,5.3
Mater,4.6
Material,7.3
Matichya Chuli,6.8
Mauli,6.0
Max Rose,6.2
May the Devil Take You,6.0
Mean Dreams,6.3
Mehandi Circus,7.4
Melvin Goes to Dinner,6.8
Men in Black,7.3
Men in Black II,6.2
Menashe,6.5
Menorca,4.4
Merantau,6.7
Mercy,6.1
Mercy Black,4.9
Mere Pyare Prime Minister,6.8
Merku Thodarchi Malai,8.5
Merlin,3.8
Mersal,7.6
Message from the King,6.4
Metro,6.5
Michael,7.1
Middle Men,6.8
Mike Epps: Don't Take It Personal,4.3
Milada,6.2
MILF,4.7
Milk,5.6
Mind Game,7.8
MindGamers,3.7
Mindhorn,6.3
Mine,6.9
Mine 9,6.8
Miracle,7.5
Miracle in Cell No. 7,7.5
Mirage,7.3
Mirai,7.0
Mirror Mirror,5.7
Mirzya,4.6
Mischief,6.6
Misfit,4.4
Miss Julie,6.2
Miss Me This Christmas,4.3
Miss Stevens,6.6
Miss Virginia,6.8
Mississippi Grind,6.4
Moh Maya Money,5.6
Mohawk,4.5
Mohenjo Daro,5.7
Mojave,5.6
Molly's Game,7.4
Mom,5.1
Mona Lisa Smile,6.5
Money,7.2
Monkey Up,3.8
Monster Family,4.8
Monster High: Friday Night Frights,6.9
Monster House,6.6
Monster Island,2.6
Monsters: Dark Continent,4.3
Moon,7.9
Moonlight,6.1
Moonwalkers,6.1
Moor,7.7
Moshe Kasher: Live in Oakland,6.8
Mosul,5.9
Mr. Chandramouli,5.1
Mr. Church,7.6
Mr. Deeds,5.8
Mr. Roosevelt,6.2
Mr. Woodcock,5.1
Mrs. Serial Killer,4.9
Mubarakan,5.5
Much Ado About Nothing,7.8
Much Loved,6.2
Mucize,7.7
